"Timestamp","1. Where do you live during the Pandemic?","2. Currently, are you living with?","3. What is your age (choose the best match range)?","4. Your Gender?","4. Your Profession?","5. What is your current salary range? (monthly)","6. Does the Covid-19 pandemic affect your financial condition?","7. How frequently you order food online?","8. Did you order food online during the Covid-19 pandemic?","9. Do you feel safe using OFD (Online Food Ordering) during the Covid-19  pandemic?","10. If yes or no, please share the reason?","11. Do you think the restaurant food quality is maintained when you order online during the Covid-19 pandemic?","12. Do you prefer third-party apps (For example FoodPanda / PathaoFood ) more than a restaurant's website to order food online?","13. Which apps did you use so far for online food ordering?","14. Your preferred payment method for OFD (Online Food Delivery)?","15. Do you think the restaurant rating system in OFD help to order good quality food?  ","16. What do you think OFD (Online Food Delivery) should improve during a pandemic?","17. Do you feel OFD ensures timeliness?","18. Do you think OFD provides food less cost then restaurants?","19. When is the best time to use OFD (Online Food Delivery) for you?","20. Did you face any issue describing your address to the delivery man while using (Online Food Delivery) during the pandemic?","21. What encourages you most to use OFD (Online Food Delivery) during a pandemic? ","22. What safety measure you notice OFD providers take to ensure safety for the Covid-19  pandemic?","23. Did you notice any difference in OFD (Online Food Delivery) before and after the pandemic?","24. If yes what's the difference?","25. Did you face any issues using OFD  during the pandemic?","26. Did OFD (Online Food Delivery) owners take any steps to solve the issues you have faced?","27. Any Comments?"
"2020/10/19 10:08:10 PM GMT+6","Urban area","Family","26-35 Years","Male","Freelancer ","60,000 to 80,000 BDT","Partially","Occationally","At least 5 times","No","For the hygienic problem","No","Sometimes","Foodpanda","Cash on delivery","Maybe","They need to solved there hygienic problem","Not Always","No","Afternoon","Yes","Safety issue","Their advertisement of hygiene","Yes","Add contactless delivery","Delivary  man cant get the location","responded lately","Not For now"
"2020/10/19 10:11:47 PM GMT+6","Urban area","Family","26-35 Years","Female","","60,000 to 80,000 BDT","Yes","Occationally","Once / Twice","Yes","I can microwave so not worried about germ","Not Always","Yes","Foodpanda;Pathao Food","Cash on delivery","","","No","","Evening","No","","Free Sanitization tool (ex. Alchohol Pad) provided for disinfection","","","","responded lately",""
"2020/10/19 10:12:23 PM GMT+6","Urban area","Family","26-35 Years","Male","unemployed ","less than 20,000 BDT","Yes","Occationally","More than 10 time","Not always","N/A","No","Yes","Foodpanda;Shohoz Food","Cash on delivery","No","yes","Not Always","No","Afternoon","Yes","Promo codes;Free Delivery;Discount","Contact less delivery;Cashless payment system","Yes","Add contactless delivery;promote cashless delivery","bad packaging;Item missing","responded immidiately",""
"2020/10/19 10:22:18 PM GMT+6","Urban area","Family","26-35 Years","Female","None","less than 20,000 BDT","Yes","Occationally","Once / Twice","Yes","They follow the rules of packaging & provide alcohol pad.","Yes","Yes","Pathao Food","Cash on delivery","Yes","Yes","Yes","No","Evening","No","Save time and effort","Free Sanitization tool (ex. Alchohol Pad) provided for disinfection","Yes","Add sanitation option","","responded lately",""
"2020/10/19 10:32:47 PM GMT+6","Sub Urban area","Family","19-25 Years","Female","Software Engineer","20,000 to 40,000 BDT","No","Never","never","Not always","sometimes the food is not as expected.","Not Always","Sometimes","Foodpanda;Restaurants Facebook Page","Cash on delivery","Maybe","I do order very little.","Not Always","Yes","Afternoon","No","","I do order very little.","No","","I do order very little.","responded immidiately","some questions are conflicting with each other"
"2020/10/19 10:33:09 PM GMT+6","Urban area","Family","26-35 Years","Male","student","less than 20,000 BDT","No","Occationally","never","Yes","we don't need to go outside.","Yes","Yes","Foodpanda","Cash on delivery","Yes","yes","No","No","Evening","No","Promo codes;Free Delivery;Safety issue","Their advertisement of hygiene","No","Add sanitation option","Item missing","responded lately","no"
"2020/10/19 10:36:38 PM GMT+6","Urban area","Family","26-35 Years","Male","Software Engineer","40,000 to 60,000 BDT","No","Monthly","More than 10 time","Not always","Depends on the restaurant, usually popular ones maintain safety measures for the sake of their standards","Not Always","Yes","Foodpanda;Pathao Food","Cash on delivery","Yes","Transparency about food, maintaining proper hygiene, provide more offers suitable for family (approx 4-6 members) ","Yes","No","Evening","No","Promo codes;Safety issue;Save time and effort;Enthusiasm for food","Contact less delivery;Free Sanitization tool (ex. Alchohol Pad) provided for disinfection","Yes","Add contactless delivery;Add sanitation option;promote cashless delivery","damage food","Did not response",""
"2020/10/19 10:48:41 PM GMT+6","Sub Urban area","Family","26-35 Years","Male","Engineer","40,000 to 60,000 BDT","Partially","Occationally","More than 10 time","Not always","Not every rider/restaurant is fully aware of health hygiene","Not Always","Yes","Foodpanda","Credit card","Yes","Coverage ","Not Always","No","Night","Yes","Free Delivery;Discount;Dine in insecurity during pendemic;Save time and effort","Their advertisement of hygiene","No","","Order cancellation withput reason;Delivary  man cant get the location","responded lately",""
"2020/10/19 10:54:32 PM GMT+6","Urban area","Family","19-25 Years","Female","Job holder","less than 20,000 BDT","Yes","Occationally","never","No","I did not sure about hygiene ","No","Yes","Shohoz Food","Cash on delivery","Yes","Time ","Yes","Yes","Night","No","Promo codes;Free Delivery;Discount;Save time and effort","Their advertisement of hygiene;Free Sanitization tool (ex. Alchohol Pad) provided for disinfection","No","sanitation for delivery man","excessive delay in delivary","Did not response","N/A"
"2020/10/19 10:59:50 PM GMT+6","Urban area","Family","26-35 Years","Male","Teacher","less than 20,000 BDT","Yes","Never","never","No","Risky.","Not Always","Yes","Home","Cash on delivery","Yes","Yes","Yes","Yes","Night","No","Free Delivery;Discount","Contact less delivery","No","","No safety measures","Did not response",""
"2020/10/19 11:00:28 PM GMT+6","Urban area","Family","26-35 Years","Female","Software Engineer","20,000 to 40,000 BDT","No","Weekly","More than 10 time","Not always","Not always as it's risky to eat takeaway food sometimes in covid-19","Not Always","Sometimes","Foodpanda;Pathao Food;Uber Eats;Restaurants Facebook Page","Cash on delivery","Yes","Yes","Yes","Yes","Afternoon","Yes","Promo codes;Free Delivery;Discount;Dine in insecurity during pendemic;Safety issue;Save time and effort;Enthusiasm for food","Contact less delivery;Their advertisement of hygiene;Cashless payment system","No","Add contactless delivery","no","responded immidiately","no"
"2020/10/19 11:17:40 PM GMT+6","Urban area","Family","26-35 Years","Male","Business ","less than 20,000 BDT","Yes","Occationally","never","Not always","Virus bearing ","No","Sometimes","Foodpanda","Cash on delivery","No","","Not Always","No","Evening","No","Promo codes;Free Delivery","Their advertisement of hygiene","Yes","Add contactless delivery;sanitation for delivery man","","Did not response",""
"2020/10/20 12:03:00 AM GMT+6","Urban area","Family","19-25 Years","Male","Engineer","20,000 to 40,000 BDT","Partially","Monthly","At least 5 times","Not always","Some are more hygenic than others ","Not Always","Yes","Foodpanda;Pathao Food;Uber Eats","Cash on delivery","Yes","Safety","Yes","No","Evening","Yes","Promo codes;Free Delivery;Discount","Contact less delivery;Their advertisement of hygiene;Cashless payment system","Yes","Add contactless delivery;promote cashless delivery;sanitation for delivery man","No safety measures;excessive delay in delivary","responded immidiately",""
"2020/10/20 1:01:13 AM GMT+6","Urban area","Alone","26-35 Years","Male","Banker","20,000 to 40,000 BDT","No","Weekly","More than 10 time","Not always","Not always","Not Always","Yes","Foodpanda","Cash on delivery","Yes","Yes","Yes","No","Evening","No","Safety issue","Restaurants with Hygiene tag(where OFD ensures food  safety)","No","","No safety measures","Did not response",""
"2020/10/20 3:28:28 AM GMT+6","Urban area","Family","26-35 Years","Male","Teaching ","Above 80,000 BDT","Yes","Occationally","More than 10 time","Not always","Because of the safety issue related to food packaging and delivery ","Yes","Yes","Foodpanda;Pathao Food;Specific restaurants own website / App / portal (Ex. Pizza Hut);Uber Eats;Restaurants Facebook Page","Cash on delivery","Yes","","","Yes","Evening","Yes","Promo codes;Free Delivery;Discount","Contact less delivery;Their advertisement of hygiene;Free Sanitization tool (ex. Alchohol Pad) provided for disinfection;Cashless payment system","Yes","Add sanitation option;sanitation for delivery man","excessive delay in delivary","responded immidiately","Quality should be always maintained. "
"2020/10/20 5:54:52 AM GMT+6","Urban area","Family","26-35 Years","Male","Software Engineer","60,000 to 80,000 BDT","Partially","Never","Once / Twice","No","The guy who delivers might be contaminated. So there is definitely a probability increase happening.","Not Always","Yes","I never ordered","Cash on delivery","No","Cleanliness ","No","No","Morning","No","","Contact less delivery","","","","Did not response",""
"2020/10/20 9:09:21 AM GMT+6","Urban area","Family","26-35 Years","Male","Service Holder","40,000 to 60,000 BDT","No","Occationally","Once / Twice","Not always","n/a","Not Always","Yes","Foodpanda","Cash on delivery","Maybe","yes","Not Always","Yes","Evening","Yes","Promo codes","Their advertisement of hygiene","No","","bad packaging","responded immidiately","no"
"2020/10/20 10:38:34 AM GMT+6","Urban area","Family","19-25 Years","Male","","40,000 to 60,000 BDT","Partially","Daily","More than 10 time","Not always","The more established franchises promotes hygiene and it shows in their packaging and customer management. this is also where small food franchises fail to deliver such assurance and credibility.","Not Always","Yes","Foodpanda;Pathao Food;Specific restaurants own website / App / portal (Ex. Pizza Hut)","Credit card","No","","","","Night","Yes","Promo codes;Free Delivery;Discount","Contact less delivery;Their advertisement of hygiene;Free Sanitization tool (ex. Alchohol Pad) provided for disinfection;Restaurants with Hygiene tag(where OFD ensures food  safety)","Yes","Add contactless delivery;Add sanitation option;promote cashless delivery;sanitation for delivery man","No safety measures;excessive delay in delivary;Delivary  man cant get the location","responded immidiately",""
"2020/10/20 11:38:29 AM GMT+6","Urban area","Family","26-35 Years","Male","Software developer","40,000 to 60,000 BDT","No","Occationally","Once / Twice","Yes","belief","Not Always","Yes","Foodpanda","Cash on delivery","Maybe","","Not Always","No","Evening","No","Safety issue","Restaurants with Hygiene tag(where OFD ensures food  safety)","Yes","sanitation for delivery man","","responded lately",""
"2020/10/20 11:48:04 AM GMT+6","Urban area","Family","26-35 Years","Female","software engineer","20,000 to 40,000 BDT","Partially","Occationally","At least 5 times","Not always","Not all delivery persons maintain proper health safety rules.","Not Always","Yes","Foodpanda;Pathao Food;Uber Eats;Restaurants Facebook Page","Cash on delivery","No","","Not Always","No","Evening","No","Save time and effort","Contact less delivery","Yes","Add contactless delivery","No safety measures;Order cancellation withput reason","Did not response",""
"2020/10/20 12:09:56 PM GMT+6","Urban area","Family","19-25 Years","Female","Teacher","less than 20,000 BDT","Yes","Occationally","Once / Twice","Yes","I do not need to go out and sit with many people. Also I don't need to use utensils used by other people. ","Yes","Yes","Foodpanda;Restaurants Facebook Page","Cash on delivery","No","Maintain same amount of food that they usually give at the restaurant.","Not Always","No","Evening","No","Discount;Dine in insecurity during pendemic;Save time and effort","Their advertisement of hygiene;Cashless payment system","Yes","Add contactless delivery;sanitation for delivery man","excessive delay in delivary","responded lately",""
"2020/10/20 12:16:26 PM GMT+6","Urban area","Family","26-35 Years","Male","Accountant","20,000 to 40,000 BDT","No","Never","never","Yes","Don't care about Covid-19","No","Yes","Foodpanda","Cash on delivery","No","They should maintain strong hygiene from food raw materials  washing to food cooking. ","Yes","No","Afternoon","No","Discount","Restaurants with Hygiene tag(where OFD ensures food  safety)","No","","Item missing","Did not response",""
"2020/10/20 1:03:59 PM GMT+6","Sub Urban area","Family","19-25 Years","Male","Student","less than 20,000 BDT","Yes","Occationally","never","Not always","As I'm with my family now, so I'm not ordering food.","Not Always","Yes","Foodpanda","Cash on delivery","Maybe","Maintain hard core safety and quality","Yes","Yes","Morning","No","Promo codes;Free Delivery;Discount;Enthusiasm for food","Their advertisement of hygiene;Cashless payment system;Restaurants with Hygiene tag(where OFD ensures food  safety)","Yes","Add sanitation option;sanitation for delivery man","excessive delay in delivary;Wrong food delivered","Did not response",""
"2020/10/20 1:12:23 PM GMT+6","Sub Urban area","Family","19-25 Years","Male","Student","less than 20,000 BDT","Yes","Occationally","Once / Twice","Not always","I doubt that the restaurants take necessary measurements while packing the food to prevent covid 19 through food.","Not Always","Sometimes","Foodpanda;Pathao Food;Uber Eats","Cash on delivery","Maybe","","Not Always","No","Night","Yes","Promo codes;Free Delivery;Discount;Dine in insecurity during pendemic;Safety issue;Save time and effort;Enthusiasm for food","Their advertisement of hygiene","Yes","Add sanitation option","damage food;Delivary  man cant get the location","Did not response",""
"2020/10/20 2:50:55 PM GMT+6","Urban area","Family","19-25 Years","Male","Student","less than 20,000 BDT","Yes","Monthly","Once / Twice","Not always","Because of the safety measurement of the delivery man","Yes","Yes","Foodpanda;Shohoz Food","Cash on delivery","Maybe","More safety and good packaging ","Not Always","Yes","Evening","No","Promo codes;Free Delivery;Discount;Save time and effort","Contact less delivery;Their advertisement of hygiene;Free Sanitization tool (ex. Alchohol Pad) provided for disinfection","Yes","Add contactless delivery;Add sanitation option;promote cashless delivery","No safety measures;Delivery man misbehave;bad packaging","Did not response",""
"2020/10/21 1:01:53 PM GMT+6","Urban area","Alone","19-25 Years","Male","Student","less than 20,000 BDT","Partially","Occationally","never","No","Because I dont feel safe","Not Always","Yes","Foodpanda","Cash on delivery","Yes","Improving the food quality  ","No","No","Evening","No","Discount","Restaurants with Hygiene tag(where OFD ensures food  safety)","Yes","sanitation for delivery man","nothing","responded immidiately","No"
"2020/10/21 1:09:38 PM GMT+6","Urban area","Family","26-35 Years","Male","","40,000 to 60,000 BDT","Partially","Weekly","At least 5 times","Not always","Concerned about the safety measurement from food preparation to delivery. ","Not Always","Yes","Foodpanda;Efood(apps by evaly)","Cash on delivery","Yes","Safety precaution, delivery time, not using latest tech like google map to find the delivery address","Not Always","Yes","Evening","Yes","Promo codes;Free Delivery;Discount;Dine in insecurity during pendemic;Safety issue;Save time and effort","Contact less delivery;Cashless payment system","Yes","Add contactless delivery;promote cashless delivery","Delivary  man cant get the location","Did not response",""
"2020/10/22 9:06:53 PM GMT+6","Urban area","Family","19-25 Years","Male","student","less than 20,000 BDT","No","Never","Once / Twice","Yes","cz foods r boiled","No","Yes","Foodpanda","Cash on delivery","No","no idea","Not Always","No","Afternoon","Yes","Promo codes","Cashless payment system","Yes","","bad packaging;damage food","Did not response",""
"2020/10/22 9:07:22 PM GMT+6","Sub Urban area","Family","19-25 Years","Male","Student","less than 20,000 BDT","No","Never","never","Yes","With enough safety measurement I think it is okay to have food from online","No","Yes","Foodpanda","Cash on delivery","Maybe","","Yes","Yes","Evening","No","Promo codes;Free Delivery;Discount","Contact less delivery;Their advertisement of hygiene;Free Sanitization tool (ex. Alchohol Pad) provided for disinfection;Cashless payment system","Yes","Add sanitation option;sanitation for delivery man","No safety measures;bad packaging;damage food;Item missing","Did not response",""
"2020/10/22 9:08:06 PM GMT+6","Urban area","Family","19-25 Years","Male","Student","less than 20,000 BDT","No","Weekly","Once / Twice","No","I simple don't feel safe.","Not Always","Yes","Foodpanda;Pathao Food","Cash on delivery","Maybe","Yes","Not Always","Yes","Evening","No","Promo codes;Free Delivery;Discount;Dine in insecurity during pendemic;Safety issue;Save time and effort;Enthusiasm for food","Their advertisement of hygiene;Free Sanitization tool (ex. Alchohol Pad) provided for disinfection;Restaurants with Hygiene tag(where OFD ensures food  safety)","No","","","Did not response",""
"2020/10/22 9:08:45 PM GMT+6","Urban area","Alone","19-25 Years","Male","Student","less than 20,000 BDT","No","Occationally","never","No","No because I don't think most of the restaurants take proper safety measures.","No","Yes","Foodpanda","Cash on delivery","Maybe","They should maintain proper hygiene","Yes","No","Evening","No","Safety issue","Their advertisement of hygiene","No","","","Did not response",""
"2020/10/22 9:09:08 PM GMT+6","Rural area","Family","19-25 Years","Male","Student","less than 20,000 BDT","Yes","Never","never","No","It's incompatible with my current condition.","Not Always","Yes","Foodpanda","Cash on delivery","Yes","yes","Yes","Yes","Night","No","Free Delivery;Discount;Safety issue;Save time and effort","Contact less delivery;Their advertisement of hygiene;Free Sanitization tool (ex. Alchohol Pad) provided for disinfection;Restaurants with Hygiene tag(where OFD ensures food  safety)","No","Add sanitation option;sanitation for delivery man","No safety measures;Order cancellation withput reason;Delivary  man cant get the location","responded lately",""
"2020/10/22 9:09:13 PM GMT+6","Urban area","Family","19-25 Years","Male","Student","less than 20,000 BDT","No","Occationally","Once / Twice","No","Not every delivery boy takes protection against Covid19","No","Yes","Foodpanda;Specific restaurants own website / App / portal (Ex. Pizza Hut)","Cash on delivery","Yes","Protection against Covid","Not Always","Yes","Evening","No","Promo codes;Free Delivery;Discount;Dine in insecurity during pendemic;Safety issue;Save time and effort;Enthusiasm for food","Contact less delivery;Cashless payment system","No","","No safety measures","Did not response",""
"2020/10/22 9:09:32 PM GMT+6","Urban area","Family","19-25 Years","Male","Student","less than 20,000 BDT","No","Weekly","More than 10 time","Yes","Not much different than previous time.","Yes","Yes","Shohoz Food","Cash on delivery","No","","Not Always","No","Afternoon","Yes","Save time and effort;Enthusiasm for food","Restaurants with Hygiene tag(where OFD ensures food  safety)","No","","","Did not response","No Actual difference from my side and resturant side in pandemic.  Only few resturant provide some alcohol pad."
"2020/10/22 9:09:54 PM GMT+6","Urban area","Family","19-25 Years","Male","Student","less than 20,000 BDT","Yes","Occationally","Once / Twice","Yes","I trusted the packaging system and the particular restaurant on thier hygiene.","Not Always","Yes","Foodpanda;Pathao Food","Cash on delivery","Yes","","Not Always","Yes","Night","Yes","Dine in insecurity during pendemic;Safety issue;Save time and effort;Enthusiasm for food","Contact less delivery;Their advertisement of hygiene;Restaurants with Hygiene tag(where OFD ensures food  safety)","Yes","Add contactless delivery;Add sanitation option;promote cashless delivery;sanitation for delivery man","damage food","Did not response",""
"2020/10/22 9:12:03 PM GMT+6","Urban area","Family","19-25 Years","Male","Student","less than 20,000 BDT","Yes","Weekly","More than 10 time","Yes","Because i dont have to go away from home.","Not Always","Yes","Foodpanda;Hungrynaki","Cash on delivery","Yes","To ensure safety for both riders and customers","Not Always","Yes","Evening","Yes","Promo codes;Free Delivery;Discount;Dine in insecurity during pendemic;Save time and effort","Contact less delivery","No","","No safety measures;Delivary  man cant get the location","responded lately",""
"2020/10/22 9:13:18 PM GMT+6","Sub Urban area","Family","19-25 Years","Female","student","less than 20,000 BDT","Partially","Occationally","never","No","i feel it""s scary to have foods from outside in our home .so i don""t do it","Not Always","Sometimes","Foodpanda","Cash on delivery","Maybe","they should improve because a large amount of people are dependent on their service.so it""s their responsibility to improve it","Not Always","Yes","Evening","Yes","Promo codes;Free Delivery;Discount","Contact less delivery;Their advertisement of hygiene;Free Sanitization tool (ex. Alchohol Pad) provided for disinfection;Cashless payment system;Restaurants with Hygiene tag(where OFD ensures food  safety)","Yes","Add contactless delivery;Add sanitation option;promote cashless delivery;sanitation for delivery man","No safety measures;excessive delay in delivary;Order cancellation withput reason;Delivery man misbehave;bad packaging","Did not response","no"
"2020/10/22 9:18:59 PM GMT+6","Urban area","Family","19-25 Years","Male","Student","less than 20,000 BDT","Yes","Monthly","Once / Twice","No"," Sometimes  the food deliver man do not use face mask ","Not Always","No","Foodpanda","Cash on delivery","Maybe","Ensure more safety and hygiene","Not Always","Yes","Afternoon","No","Free Delivery;Discount;Save time and effort","Contact less delivery","Yes","sanitation for delivery man","No safety measures","Did not response",""
"2020/10/22 9:28:46 PM GMT+6","Urban area","Family","19-25 Years","Male","Student","less than 20,000 BDT","Yes","Occationally","At least 5 times","Not always","Not every restaurent maintains proper hygine during this time.","Not Always","Yes","Foodpanda;Shohoz Food;Pathao Food;Uber Eats","Cash on delivery","Maybe","Hygine","Not Always","Yes","Evening","No","Promo codes;Free Delivery;Discount;Safety issue;Save time and effort","Cashless payment system;Restaurants with Hygiene tag(where OFD ensures food  safety)","Yes","Add contactless delivery;promote cashless delivery;sanitation for delivery man","No safety measures","Did not response",""
"2020/10/22 9:30:05 PM GMT+6","Sub Urban area","Family","19-25 Years","Male","student","less than 20,000 BDT","No","Never","never","Yes","Saffer than go to restaurent or bazar","Not Always","No","Foodpanda","MFS (bkash /Nogodh )","Yes","","Yes","No","Night","No","Promo codes;Discount;Save time and effort","Their advertisement of hygiene","No","","","responded immidiately",""
"2020/10/22 9:35:15 PM GMT+6","Sub Urban area","Family","19-25 Years","Male","Student","less than 20,000 BDT","Yes","Occationally","Once / Twice","Not always","Not always","Not Always","Sometimes","Foodpanda;Restaurants Facebook Page","Cash on delivery","Yes","","Not Always","No","Evening","No","Promo codes;Free Delivery;Discount;Save time and effort","Their advertisement of hygiene;Free Sanitization tool (ex. Alchohol Pad) provided for disinfection","Yes","Add sanitation option","","responded immidiately",""
"2020/10/22 9:57:09 PM GMT+6","Urban area","Family","19-25 Years","Female","Medical student ","less than 20,000 BDT","Partially","Occationally","Once / Twice","Yes","I can order food from home and avoid social gathering. It's very easy and safe ","Not Always","Yes","Shohoz Food;Uber Eats","Cash on delivery","Maybe","Yes of course ","Yes","No","Afternoon","Yes","Dine in insecurity during pendemic","Free Sanitization tool (ex. Alchohol Pad) provided for disinfection","Yes","Add contactless delivery","Delivary  man cant get the location","responded immidiately","No"
"2020/10/22 10:04:45 PM GMT+6","Sub Urban area","Family","19-25 Years","Male","Student","less than 20,000 BDT","Yes","Occationally","never","Not always","No reason","Not Always","Sometimes","Restaurants Facebook Page","Cash on delivery","Yes","Yes","Not Always","Yes","Afternoon","No","Promo codes","Contact less delivery","No","Add sanitation option","No safety measures","Did not response","No"
"2020/10/22 10:24:14 PM GMT+6","Rural area","Family","19-25 Years","Male","Student","less than 20,000 BDT","Yes","Occationally","never","Not always","May be unhygienic ","Not Always","Yes","Foodpanda","Cash on delivery","Yes","","Yes","Yes","Night","Yes","Promo codes;Free Delivery;Discount;Save time and effort;Enthusiasm for food","Contact less delivery;Their advertisement of hygiene","No","","No safety measures","Did not response",""
"2020/10/22 10:55:37 PM GMT+6","Sub Urban area","Family","19-25 Years","Male","Student","less than 20,000 BDT","Yes","Never","never","Not always","As i don't know how they process their food so food safety is often a matter of concern for me ","Not Always","Sometimes","i never ordered food in online","others","Yes","no idea","","","Morning","No","Free Delivery;Safety issue;Save time and effort","Contact less delivery;Their advertisement of hygiene;Restaurants with Hygiene tag(where OFD ensures food  safety)","","","","responded lately",""
"2020/10/22 11:55:21 PM GMT+6","Urban area","Family","19-25 Years","Male","Student","less than 20,000 BDT","Yes","Never","never","No","I think that might carry corona virus","Yes","Yes","Foodpanda","Cash on delivery","Yes","nothing.","Not Always","Yes","Evening","Yes","Promo codes;Free Delivery;Discount","I didnt order any in this time","","","","Did not response",""
"2020/10/23 12:21:38 AM GMT+6","Urban area","Family","19-25 Years","Male","Student","less than 20,000 BDT","No","Monthly","At least 5 times","Not always","Becuase it depends on various parameters like the restaurants awareness, riders  cautiousness riders ","No","Yes","Foodpanda","Cash on delivery","Maybe","they should strictly maintain hygiene","Yes","Yes","Evening","No","","Contact less delivery","No","","","Did not response",""
